49
A1 -6.886500,107.607499 A4
A2 -6.886436,107.611683 A3
A3 -6.887235,107.611488 A2,A4,A5
A4 -6.887711,107.609952 A1,A3,A6
A5 -6.887404,107.613557 A3,A30
A6 -6.887931,107.608246 A4,A12
A7 -6.888070,107.608305 A8,A18
A8 -6.887995,107.609263 A7,A9,A14
A9 -6.887846,107.611465 A3,A8,A10
A10 -6.888200,107.611539 A9,A11,A15
A11 -6.888317,107.612713 A10,A16
A12 -6.888578,107.608095 A6,A41
A13 -6.888782,107.609049 A14,A19
A14 -6.888718,107.609349 A8,A13,A15
A15 -6.888761,107.611570 A10,A14,A17
A16 -6.889234,107.612532 A11,A17,A21
A17 -6.889140,107.611587 A15,A16,A20
A18 -6.890138,107.608209 A7,A19,A23
A19 -6.890110,107.609057 A13,A18,A22
A20 -6.889467,107.611597 A17,A21,A22
A21 -6.889563,107.612487 A16,A20,A28
A22 -6.889914,107.611533 A19,A20,A27
A23 -6.891044,107.608208 A18,A24,A47
A24 -6.891066,107.608707 A23,A25,A33
A25 -6.891040,107.609716 A24,A26,A48
A26 -6.891035,107.611033 A25,A27,A32
A27 -6.891003,107.611586 A22,A26,A28
A28 -6.890955,107.612106 A21,A27,A31
A29 -6.891549,107.614347 A30,A46
A30 -6.891501,107.613180 A5,A29,A37
A31 -6.891378,107.612166 A28,A32,A36
A32 -6.891360,107.611035 A26,A31,A49
A33 -6.892662,107.608765 A24,A35,A47
A34 -6.891948,107.610385 A35,A48,A49
A35 -6.892646,107.610417 A33,A34,A36,A39
A36 -6.892151,107.611967 A31,A35
A37 -6.893770,107.612986 A30,A38,A45
A38 -6.893604,107.611951 A37,A39,A44
A39 -6.893216,107.610448 A35,A38,A40
A40 -6.893349,107.610056 A39,A41,A43
A41 -6.893864,107.608456 A12,A40,A42
A42 -6.894889,107.608847 A41,A43
A43 -6.894781,107.610163 A40,A42,A44
A44 -6.894745,107.611729 A38,A43
A45 -6.894798,107.612909 A37,A46
A46 -6.894856,107.614272 A29,A45
A47 -6.892566,107.608437 A23,A33
A48 -6.891922,107.609755 A25,A34
A49 -6.891854,107.611004 A32,A34
